County,Town/Village/City,Test Location in Home,# of Homes Tested,Average Radon (pCi/L),GEO Mean,GEO S.D.,Highest (pCi/L),< 4.0 pCi/L,>=4 and < 20pCi/L,>=20pCi/L
CHENANGO,NO. NORWICH,Basement,11,6.41,4.65,2.31,16.6,6,5,0
CHENANGO,NO. NORWICH,1st Floor,4,0.88,0.4,5.04,1.9,4,0,0
CHENANGO,NORWICH,Basement,277,10.98,5.85,3.19,105.5,94,140,43
CHENANGO,NORWICH,1st Floor,200,3.6,1.35,4.63,50.4,151,46,3
CHENANGO,OTSELIC,Basement,9,5.63,4.31,2.32,13.2,3,6,0
CHENANGO,OTSELIC,1st Floor,6,1.97,1.27,3.14,4.8,5,1,0
CHENANGO,OXFORD,Basement,52,9.51,4.44,3.71,46.9,26,18,8
CHENANGO,OXFORD,1st Floor,35,3.43,1.6,3.7,23.2,27,6,2
CHENANGO,PHARSALIA,Basement,1,3.1,3.1,1,3.1,1,0,0
CHENANGO,PITCHER,Basement,4,11.18,6.62,3.23,31.2,1,2,1
CHENANGO,PITCHER,1st Floor,3,1.7,0.84,6.41,3,3,0,0
CHENANGO,PLYMOUTH,Basement,10,4.43,2.46,3.24,17.2,6,4,0
CHENANGO,PLYMOUTH,1st Floor,9,1.28,0.62,3.74,4.8,8,1,0
CHENANGO,PRESTON,Basement,2,2.45,2.04,2.4,3.8,2,0,0
CHENANGO,PRESTON,1st Floor,1,2.7,2.7,1,2.7,1,0,0
CHENANGO,SHERBURNE,Basement,66,12.01,6.18,3.23,94.9,22,35,9
CHENANGO,SHERBURNE,1st Floor,47,3.47,1.68,3.34,38.9,35,11,1
CHENANGO,SMITHVILLE,Basement,4,4.98,4.97,1.06,5.3,0,4,0
CHENANGO,SMITHVILLE,1st Floor,2,12.95,2.27,30.99,25.7,1,0,1
CHENANGO,SMYRNA,Basement,6,2.63,2.54,1.34,3.9,6,0,0
CHENANGO,SMYRNA,1st Floor,6,1.17,0.88,2.45,2.2,6,0,0
CLINTON,ALTONA,Basement,3,1.37,1.26,1.67,1.7,3,0,0
CLINTON,ALTONA,1st Floor,6,1.03,0.63,3.15,3.3,6,0,0
CLINTON,AUSABLE,Basement,13,0.87,0.7,1.95,2.4,13,0,0
CLINTON,BEEKMANTOWN,Basement,7,2.87,1.48,3.52,11,6,1,0
CLINTON,BEEKMANTOWN,1st Floor,3,0.43,0.42,1.42,0.6,3,0,0
CLINTON,BLACK BROOK,Basement,6,2.22,1.54,2.5,6.5,5,1,0
CLINTON,BLACK BROOK,1st Floor,3,1.2,0.62,4.08,3,3,0,0
CLINTON,CHAMPLAIN,Basement,31,3.39,1.98,2.87,18.6,24,7,0
CLINTON,CHAMPLAIN,1st Floor,8,0.63,0.34,3.2,2.6,8,0,0
CLINTON,CHAZY,Basement,36,2.84,2.09,2.31,12.6,27,9,0
CLINTON,CHAZY,1st Floor,14,1.71,0.77,3.84,8.6,12,2,0
CLINTON,CLINTON,Basement,7,0.94,0.62,2.98,2.2,7,0,0
CLINTON,CLINTON,1st Floor,3,4.23,1.41,6.63,11.6,2,1,0
CLINTON,DANNEMORA,Basement,10,1.26,0.99,2.19,3.4,10,0,0
CLINTON,DANNEMORA,1st Floor,2,0.75,0.71,1.63,1,2,0,0
CLINTON,ELLENBURG,Basement,5,1.7,1.5,1.76,3,5,0,0
CLINTON,ELLENBURG,1st Floor,7,0.9,0.51,3.12,3.5,7,0,0
CLINTON,MOOERS,Basement,14,1.4,0.91,2.94,3.5,14,0,0
CLINTON,MOOERS,1st Floor,5,0.9,0.62,3.17,1.6,5,0,0
CLINTON,PERU,Basement,28,1.2,0.83,2.46,6.4,27,1,0
CLINTON,PERU,1st Floor,13,0.52,0.33,2.84,1.3,13,0,0
CLINTON,PLATTSBURGH,Basement,124,2.11,1.1,3.05,23.2,111,12,1
CLINTON,PLATTSBURGH,1st Floor,51,0.96,0.5,3.02,11,49,2,0
CLINTON,SARANAC,Basement,11,1.74,1.17,2.99,4.4,10,1,0
CLINTON,SARANAC,1st Floor,6,1.28,0.67,4.1,3.2,6,0,0
CLINTON,SCHUYLER FALLS,Basement,25,2.14,1.19,3.12,12.7,21,4,0
CLINTON,SCHUYLER FALLS,1st Floor,7,0.96,0.66,2.87,2.5,7,0,0
COLUMBIA,ANCRAM,Basement,21,10.46,8.13,2.08,31.5,4,14,3
COLUMBIA,ANCRAM,1st Floor,15,1.99,1.18,2.78,8.9,13,2,0
COLUMBIA,AUSTERLITZ,Basement,17,3.91,2.39,3.3,16.6,11,6,0
COLUMBIA,AUSTERLITZ,1st Floor,8,1.49,0.85,3.47,5.6,7,1,0
COLUMBIA,CANAAN,Basement,26,6.35,4.29,2.57,22.7,11,14,1
COLUMBIA,CANAAN,1st Floor,21,3.06,1.61,3.71,12.4,16,5,0
COLUMBIA,CHATHAM,Basement,98,9.3,4.4,2.7,298,47,46,5
COLUMBIA,CHATHAM,1st Floor,53,2.8,1.73,2.81,15.9,43,10,0
COLUMBIA,CLAVERACK,Basement,36,5.45,3.64,2.4,29.3,21,12,3
COLUMBIA,CLAVERACK,1st Floor,12,1.17,0.9,2.12,4,11,1,0
COLUMBIA,CLERMONT,Basement,29,7.7,4.75,2.86,27.9,13,13,3
COLUMBIA,CLERMONT,1st Floor,12,7.41,4.01,3.7,18.4,6,6,0
COLUMBIA,COPAKE,Basement,54,11.03,5.89,3.68,49.6,19,24,11
COLUMBIA,COPAKE,1st Floor,32,3.23,1.83,3.27,12.2,25,7,0
COLUMBIA,GALLATIN,Basement,9,6.92,5.32,2.28,13.7,4,5,0
COLUMBIA,GALLATIN,1st Floor,7,6.8,2.47,6.26,24.1,5,1,1
COLUMBIA,GERMANTOWN,Basement,34,5.67,2.89,3.6,45.5,16,17,1
COLUMBIA,GERMANTOWN,1st Floor,19,2.07,1.17,3.8,6.5,16,3,0
COLUMBIA,GHENT,Basement,51,8.83,5.38,3.23,33.9,16,30,5
COLUMBIA,GHENT,1st Floor,26,3.65,2.33,3.09,12,15,11,0
COLUMBIA,GREENPORT,Basement,5,2.06,1.73,2.11,3.2,5,0,0
COLUMBIA,GREENPORT,1st Floor,4,0.48,0.42,1.78,0.8,4,0,0
COLUMBIA,HILLSDALE,Basement,37,7.56,3.99,3.68,49.6,16,18,3
COLUMBIA,HILLSDALE,1st Floor,19,2.46,1.02,4.78,8.3,14,5,0
COLUMBIA,HUDSON C.,Basement,79,4.04,1.95,3.17,65.1,56,21,2
COLUMBIA,HUDSON C.,1st Floor,30,1.57,0.6,3.88,10.7,27,3,0
COLUMBIA,KINDERHOOK,Basement,168,6.48,3.82,3.08,80.6,77,85,6
COLUMBIA,KINDERHOOK,1st Floor,65,3.54,2.01,3.35,22.5,43,21,1
COLUMBIA,LIVINGSTON,Basement,31,7.13,4.93,2.41,35,12,17,2
COLUMBIA,LIVINGSTON,1st Floor,9,5.24,3.06,4.22,15,4,5,0
COLUMBIA,NEW LEBANON,Basement,24,3.28,2.24,2.6,9.9,18,6,0
COLUMBIA,NEW LEBANON,1st Floor,7,1.99,1.29,2.92,4.3,6,1,0
COLUMBIA,STOCKPORT,Basement,4,0.7,0.63,1.7,1.1,4,0,0
COLUMBIA,STOCKPORT,1st Floor,1,1.6,1.6,1,1.6,1,0,0
COLUMBIA,STUYVESANT,Basement,16,3.66,2.43,2.83,11.7,10,6,0
COLUMBIA,STUYVESANT,1st Floor,9,2.24,1.53,2.35,8.6,8,1,0
COLUMBIA,TAGHKANIC,Basement,26,6.71,3.47,3.05,56.1,16,9,1
COLUMBIA,TAGHKANIC,1st Floor,13,2.26,1.01,3.82,11.8,10,3,0
CORTLAND,CINCINNATUS,Basement,29,11.63,6.78,3.08,52.7,12,12,5
CORTLAND,CINCINNATUS,1st Floor,28,3.57,1.79,3.3,17.9,20,8,0
CORTLAND,CORTLAND,Basement,"1,066",14.39,8.36,3.23,188.2,248,587,231
CORTLAND,CORTLAND,1st Floor,529,6.96,3.67,3.54,76.7,248,243,38
CORTLAND,CORTLANDVILLE,Basement,249,17.43,9.81,3.36,91.4,51,120,78
CORTLAND,CORTLANDVILLE,1st Floor,92,6.71,3.02,4.19,53.4,51,35,6
CORTLAND,CUYLER,Basement,8,3.76,2.86,2.7,6.4,4,4,0
CORTLAND,CUYLER,1st Floor,6,2.48,1.1,4.48,9.1,5,1,0
CORTLAND,FREETOWN,Basement,9,5.4,3.49,2.54,17.1,6,3,0
CORTLAND,FREETOWN,1st Floor,9,0.79,0.42,3.36,2.5,9,0,0
CORTLAND,HARFORD,Basement,13,5.12,2.47,4.05,26.8,9,3,1
CORTLAND,HARFORD,1st Floor,5,1.42,0.89,3.77,2.7,5,0,0
CORTLAND,HOMER,Basement,342,15.62,9.89,2.9,96.1,67,182,93
CORTLAND,HOMER,1st Floor,179,7.21,4.32,3.18,42.2,79,88,12
CORTLAND,LAPEER,Basement,7,7.69,5.98,2.21,19.5,2,5,0
CORTLAND,LAPEER,1st Floor,2,0.35,0.32,1.91,0.5,2,0,0
CORTLAND,MARATHON,Basement,53,8.54,3.69,3.89,80.5,27,21,5
CORTLAND,MARATHON,1st Floor,45,3.17,1.72,3.41,13.7,34,11,0
CORTLAND,PREBLE,Basement,36,15.28,8.36,3.53,67,8,18,10
CORTLAND,PREBLE,1st Floor,19,7.9,4.55,3.79,30.8,8,10,1
CORTLAND,SCOTT,Basement,15,10.26,4.36,4.62,38.7,7,5,3
CORTLAND,SCOTT,1st Floor,2,3.25,1.88,5.03,5.9,1,1,0
CORTLAND,SOLON,Basement,6,3.52,3.01,1.79,6.9,4,2,0
CORTLAND,SOLON,1st Floor,6,6.35,2.64,4.17,21.4,4,1,1
CORTLAND,TAYLOR,Basement,1,10.2,10.2,1,10.2,0,1,0
CORTLAND,TAYLOR,1st Floor,1,3.8,3.8,1,3.8,1,0,0
CORTLAND,TRUXTON,Basement,28,8.61,5.52,2.72,29.3,11,13,4
CORTLAND,TRUXTON,1st Floor,16,5.34,3.51,3.02,17.4,7,9,0
CORTLAND,VIRGIL,Basement,39,11.29,6.79,3.03,46.1,12,21,6
CORTLAND,VIRGIL,1st Floor,11,4.48,2.38,4.12,13.3,6,5,0
CORTLAND,WILLET,Basement,11,13.95,7.41,3.92,55.5,2,7,2
CORTLAND,WILLET,1st Floor,6,7,2.78,5.03,25.4,4,1,1
DELAWARE,ANDES,Basement,16,8.96,6.23,2.65,26.7,4,10,2
DELAWARE,ANDES,1st Floor,15,3.08,1.59,3.83,11.7,12,3,0
DELAWARE,BOVINA,Basement,21,3.57,2.83,2.1,9.8,12,9,0
DELAWARE,BOVINA,1st Floor,8,1.46,1.08,2.39,3.5,8,0,0
DELAWARE,COLCHESTER,Basement,16,9.27,4.17,4.37,31.2,5,8,3
DELAWARE,COLCHESTER,1st Floor,20,4.71,2.06,3.65,27.1,14,4,2
DELAWARE,DAVENPORT,Basement,35,17.58,7.22,4.16,152.4,9,20,6
DELAWARE,DAVENPORT,1st Floor,23,5.67,2.82,3.77,34,14,8,1
DELAWARE,DELHI,Basement,90,10.26,6.08,3.13,73.3,23,57,10
DELAWARE,DELHI,1st Floor,113,6,2.67,3.98,39.7,67,35,11
DELAWARE,DEPOSIT,Basement,19,7.4,5.36,2.33,29.1,6,12,1
DELAWARE,DEPOSIT,1st Floor,12,3.73,2.79,2.29,8.9,6,6,0
DELAWARE,FRANKLIN,Basement,43,4.69,2.62,3.48,22.7,25,16,2
DELAWARE,FRANKLIN,1st Floor,41,3.93,1.95,3.5,37.4,27,13,1
DELAWARE,HAMDEN,Basement,41,7.79,4.54,2.92,33,21,16,4
DELAWARE,HAMDEN,1st Floor,40,4.78,1.43,5.72,28.6,26,12,2
DELAWARE,HANCOCK,Basement,28,6.51,3.31,3.16,53.1,15,11,2
DELAWARE,HANCOCK,1st Floor,33,1.72,1.06,2.8,7,29,4,0
DELAWARE,HARPERSFIELD,Basement,18,2.18,1.41,3.32,5.9,17,1,0
DELAWARE,HARPERSFIELD,1st Floor,8,2,1.23,3.47,5.8,7,1,0
DELAWARE,KORTRIGHT,Basement,28,8.91,5.1,2.9,42.9,14,10,4
DELAWARE,KORTRIGHT,1st Floor,19,1.83,1.2,2.36,9,17,2,0
DELAWARE,MASONVILLE,Basement,12,10.04,2.16,7.12,58.8,8,2,2
DELAWARE,MASONVILLE,1st Floor,9,0.54,0.39,2.36,1.8,9,0,0
DELAWARE,MEREDITH,Basement,31,3.59,2.45,2.37,20.7,23,7,1
DELAWARE,MEREDITH,1st Floor,23,2.11,1.11,3.76,7.6,18,5,0
DELAWARE,MIDDLETOWN,Basement,45,7.42,2.94,3.35,102.4,29,13,3
DELAWARE,MIDDLETOWN,1st Floor,32,2.46,1.26,2.98,15.6,27,5,0
DELAWARE,ROXBURY,Basement,43,12.82,6.02,3.61,72.5,17,17,9
DELAWARE,ROXBURY,1st Floor,34,5.06,1.88,3.89,62.6,23,10,1
DELAWARE,SIDNEY,Basement,115,6.27,3.05,3.19,104.6,73,36,6
DELAWARE,SIDNEY,1st Floor,93,2.78,1.53,2.88,45.6,77,15,1
DELAWARE,STAMFORD,Basement,37,4.81,2.91,3.03,26.1,20,15,2
DELAWARE,STAMFORD,1st Floor,36,3.67,1.58,3.29,31.6,29,5,2
DELAWARE,TOMPKINS,Basement,10,6.57,3.28,3.71,20.5,6,3,1
DELAWARE,TOMPKINS,1st Floor,9,4.59,2.37,3.01,23.1,7,1,1
DELAWARE,WALTON,Basement,105,10.97,5.46,3.3,180.4,40,54,11
DELAWARE,WALTON,1st Floor,123,3.1,1.67,3.27,19.4,94,29,0
DUTCHESS,AMENIA,Basement,26,10.03,6.19,3.5,44.8,5,18,3
DUTCHESS,AMENIA,1st Floor,14,5.69,2.89,4.36,14.8,7,7,0
DUTCHESS,BEACON,Basement,59,4.55,2.71,3.31,21.2,35,22,2
DUTCHESS,BEACON,1st Floor,34,2.19,0.98,3.93,13.6,30,4,0
DUTCHESS,BEEKMAN,Basement,103,8.65,5.18,2.77,86.2,39,54,10
DUTCHESS,BEEKMAN,1st Floor,35,3.86,2.37,3.18,11.3,22,13,0
DUTCHESS,CLINTON,Basement,66,10.22,5.77,2.88,72.6,20,40,6
DUTCHESS,CLINTON,1st Floor,22,4.38,2.76,2.84,17.4,14,8,0
DUTCHESS,DOVER,Basement,35,10.32,5.01,3.9,49.9,14,16,5
DUTCHESS,DOVER,1st Floor,16,3.51,1.64,4.44,12,11,5,0
DUTCHESS,E. FISHKILL,Basement,376,7.6,4.57,2.9,71.6,157,187,32
DUTCHESS,E. FISHKILL,1st Floor,124,3.19,1.7,3.54,21.8,94,29,1
DUTCHESS,FISHKILL,Basement,142,4.97,2.84,3.12,31.3,86,51,5
DUTCHESS,FISHKILL,1st Floor,41,1.78,1.04,3.18,9.3,37,4,0
DUTCHESS,HYDE PARK,Basement,230,6.25,4.26,2.68,40.4,93,132,5
DUTCHESS,HYDE PARK,1st Floor,95,2.52,1.33,3.3,29.6,80,14,1
DUTCHESS,LA GRANGE,Basement,237,8.46,4.75,3.1,135.2,96,120,21
DUTCHESS,LA GRANGE,1st Floor,88,3.1,1.77,3.32,18.9,66,22,0
DUTCHESS,MILAN,Basement,20,9,5.91,2.81,29.1,6,12,2
DUTCHESS,MILAN,1st Floor,8,2.55,1.28,4.57,6.9,6,2,0
DUTCHESS,NORTHEAST,Basement,16,9.1,4.91,3.57,30.2,7,7,2
DUTCHESS,NORTHEAST,1st Floor,9,3.41,1.02,5.84,17.7,7,2,0
DUTCHESS,PAWLING,Basement,73,4.69,3.05,2.75,27.8,42,29,2
DUTCHESS,PAWLING,1st Floor,17,2.72,1.24,4.1,17,13,4,0
DUTCHESS,PINE PLAINS,Basement,44,15.29,8.14,3.48,69.1,10,23,11
DUTCHESS,PINE PLAINS,1st Floor,25,5.22,2.99,3.53,20.4,13,11,1
DUTCHESS,PLEASANT VALLEY,Basement,142,8.66,5.32,2.91,36.6,55,74,13
DUTCHESS,PLEASANT VALLEY,1st Floor,55,6.12,2.67,4,61.1,32,21,2
DUTCHESS,POUGHKEEPSIE,Basement,"1,104",5.55,3.46,2.84,96.4,569,504,31
DUTCHESS,POUGHKEEPSIE,1st Floor,316,2.58,1.54,3.02,20.7,261,54,1
DUTCHESS,RED HOOK,Basement,189,6.18,3.13,3.28,120.9,105,77,7
DUTCHESS,RED HOOK,1st Floor,78,2.79,1.48,3.17,21.5,63,14,1
DUTCHESS,RHINEBECK,Basement,136,7.67,4.75,2.93,34.9,53,71,12
DUTCHESS,RHINEBECK,1st Floor,53,2.67,1.18,3.87,24.7,42,10,1
DUTCHESS,STANFORD,Basement,57,9.37,5.1,3.3,70.2,18,35,4
DUTCHESS,STANFORD,1st Floor,28,4.62,2.42,3.34,39.3,17,10,1
DUTCHESS,UNION VALE,Basement,59,10,5.72,3.11,62.6,20,34,5
DUTCHESS,UNION VALE,1st Floor,24,3.73,2.66,2.57,10.2,13,11,0
DUTCHESS,WAPPINGER,Basement,136,4.13,2.72,2.7,18.7,86,50,0
DUTCHESS,WAPPINGER,1st Floor,45,2.92,1.26,3.7,24,38,5,2
DUTCHESS,WASHINGTON,Basement,71,9.15,4.98,3.6,56.1,26,38,7
DUTCHESS,WASHINGTON,1st Floor,44,3.63,2.12,3.65,13.9,26,18,0
ERIE,ALDEN,Basement,131,5.43,1.85,3.77,185.3,103,23,5
ERIE,ALDEN,1st Floor,20,2.06,1.26,3.23,6.1,17,3,0
ERIE,AMHERST,Basement,959,2.58,1.19,2.94,115.6,854,83,22
ERIE,AMHERST,1st Floor,175,3.18,0.89,3.83,144.7,149,20,6
ERIE,AURORA,Basement,478,11.32,4.32,3.92,391.1,237,174,67
ERIE,AURORA,1st Floor,97,6.98,2.26,4.84,86.7,61,26,10
ERIE,BOSTON,Basement,115,8.74,4.01,4.06,49.9,59,37,19
ERIE,BOSTON,1st Floor,30,7.67,3.25,3.69,51.8,16,11,3
ERIE,BRANT,Basement,9,12.9,4.13,4.61,78.7,5,3,1
ERIE,BRANT,1st Floor,3,0.57,0.54,1.42,0.8,3,0,0
ERIE,BUFFALO,Basement,"1,204",1.14,0.6,2.84,63.2,"1,148",53,3
ERIE,BUFFALO,1st Floor,178,0.69,0.38,2.74,9.1,172,6,0
ERIE,CHEEKTOWAGA,Basement,476,1.05,0.72,2.29,30.8,467,8,1
ERIE,CHEEKTOWAGA,1st Floor,62,0.61,0.4,2.6,2.7,62,0,0
ERIE,CLARENCE,Basement,285,6.37,2.33,3.71,207.8,200,64,21
ERIE,CLARENCE,1st Floor,91,5.53,1.92,4.44,67.9,62,24,5
ERIE,COLDEN,Basement,47,5.22,3.25,2.58,38,28,17,2
ERIE,COLDEN,1st Floor,14,2.32,1.13,4.29,10,12,2,0
ERIE,COLLINS,Basement,53,12.34,5.27,3.83,115.1,22,21,10
ERIE,COLLINS,1st Floor,13,6.42,2.95,4.57,26.5,6,6,1
ERIE,CONCORD,Basement,187,15.43,7.62,3.87,163,55,84,48
ERIE,CONCORD,1st Floor,68,4.13,2.41,2.67,34.3,50,17,1
ERIE,EDEN,Basement,179,6.43,3.26,2.82,206.7,110,60,9
ERIE,EDEN,1st Floor,33,8.34,3.01,3.92,44.4,22,6,5
ERIE,ELMA,Basement,302,8.68,3.18,3.54,213.6,188,86,28
ERIE,ELMA,1st Floor,46,6.74,2.23,4.75,61,29,11,6
ERIE,EVANS,Basement,131,5.83,2.99,3.14,92.3,84,42,5
ERIE,EVANS,1st Floor,41,1.4,0.93,2.46,6.3,37,4,0
ERIE,GRAND ISLAND,Basement,98,1.43,1.03,2.31,7.5,95,3,0
ERIE,GRAND ISLAND,1st Floor,22,0.6,0.45,2.27,1.4,22,0,0
ERIE,HAMBURG,Basement,829,4.94,2.24,3.17,136.8,603,186,40
ERIE,HAMBURG,1st Floor,170,1.96,0.99,3.02,21.4,149,20,1
ERIE,HOLLAND,Basement,59,8.26,3.53,3.33,122.9,34,21,4
ERIE,HOLLAND,1st Floor,18,5.89,2.32,3.27,57.9,14,3,1
ERIE,KENMORE,Basement,157,0.75,0.56,2.2,4.8,156,1,0
ERIE,KENMORE,1st Floor,17,0.39,0.3,2.21,0.9,17,0,0
ERIE,LACKAWANNA,Basement,58,1.27,0.78,2.6,11.4,56,2,0
ERIE,LACKAWANNA,1st Floor,10,0.64,0.49,2.49,1.2,10,0,0
ERIE,LANCASTER,Basement,213,2.89,1.3,2.76,155.1,191,18,4
ERIE,LANCASTER,1st Floor,37,1.13,0.75,2.68,4.4,35,2,0
ERIE,MARILLA,Basement,243,28.95,9.43,4.97,371.9,79,80,84
ERIE,MARILLA,1st Floor,46,13.43,2.93,6.76,139.6,24,15,7
ERIE,NEWSTEAD,Basement,96,3.33,2.3,2.37,18,73,23,0
ERIE,NEWSTEAD,1st Floor,28,4.16,0.95,4.55,40.9,25,0,3
ERIE,NO. COLLINS,Basement,33,7.53,3.73,3.04,75.6,19,12,2
ERIE,NO. COLLINS,1st Floor,6,1.22,1.19,1.23,1.7,6,0,0
ERIE,ORCHARD PARK,Basement,549,4.68,2.36,2.91,116.9,401,129,19
ERIE,ORCHARD PARK,1st Floor,119,2.75,1.17,3.31,37.3,102,14,3
ERIE,SARDINIA,Basement,28,20.32,7.56,5.16,121.2,9,8,11
ERIE,SARDINIA,1st Floor,9,4.97,2.87,3.45,13.5,6,3,0
ERIE,TONAWANDA,Basement,404,1.03,0.72,2.25,18.9,397,7,0
ERIE,TONAWANDA,1st Floor,40,0.7,0.45,2.68,2.9,40,0,0
ERIE,W. SENECA,Basement,309,2.52,1.36,2.78,55.8,268,37,4
ERIE,W. SENECA,1st Floor,55,1.49,0.85,2.91,10.2,51,4,0
ERIE,WALES,Basement,46,11.51,4.02,3.72,181.7,25,17,4
ERIE,WALES,1st Floor,10,4.93,2.15,3.43,29.7,8,1,1
ESSEX,CHESTERFIELD,Basement,14,1.79,1.24,2.53,6.6,13,1,0
ESSEX,CHESTERFIELD,1st Floor,2,0.35,0.24,3.55,0.6,2,0,0
ESSEX,CROWN POINT,Basement,15,1.54,1.23,2.08,3.8,15,0,0
ESSEX,CROWN POINT,1st Floor,8,0.93,0.58,2.44,4.1,7,1,0
ESSEX,ELIZABETHTOWN,Basement,6,0.53,0.37,2.89,1.1,6,0,0
ESSEX,ELIZABETHTOWN,1st Floor,3,0.6,0.42,3.44,0.9,3,0,0
ESSEX,ESSEX,Basement,3,1.27,1.17,1.65,1.9,3,0,0
ESSEX,ESSEX,1st Floor,3,0.53,0.52,1.26,0.6,3,0,0
ESSEX,JAY,Basement,11,2.34,0.98,3.83,11.2,8,3,0
ESSEX,JAY,1st Floor,2,2,1.05,5.91,3.7,2,0,0
ESSEX,KEENE,Basement,6,1.4,0.83,3.58,3.1,6,0,0
ESSEX,KEENE,1st Floor,3,0.63,0.4,3.66,1.3,3,0,0
ESSEX,LEWIS,1st Floor,1,0.4,0.4,1,0.4,1,0,0
ESSEX,MINERVA,Basement,3,1.1,0.95,1.95,1.9,3,0,0
ESSEX,MORIAH,Basement,22,1.95,1.63,1.9,4,21,1,0
ESSEX,MORIAH,1st Floor,8,0.69,0.53,2.35,1.5,8,0,0
ESSEX,NEWCOMB,Basement,35,0.94,0.79,1.92,2.4,35,0,0
ESSEX,NO. ELBA,Basement,12,1.06,0.77,2.61,2.2,12,0,0
ESSEX,NO. ELBA,1st Floor,6,0.32,0.25,2.18,0.7,6,0,0
ESSEX,NO. ELBA & ST. ARMAND,Basement,3,1.27,1.17,1.65,1.9,3,0,0
ESSEX,NO. ELBA & ST. ARMAND,1st Floor,1,2.1,2.1,1,2.1,1,0,0
ESSEX,SCHROON,Basement,4,2.18,1.8,2.05,4.2,3,1,0
ESSEX,SCHROON,1st Floor,1,0.8,0.8,1,0.8,1,0,0
ESSEX,ST. ARMAND,Basement,4,1.23,1.01,1.97,2.7,4,0,0
ESSEX,ST. ARMAND,1st Floor,2,0.55,0.49,2,0.8,2,0,0
ESSEX,TICONDEROGA,Basement,18,3.28,1.67,2.94,26.3,14,3,1
ESSEX,TICONDEROGA,1st Floor,16,0.83,0.5,2.97,3.6,16,0,0
ESSEX,WESTPORT,Basement,9,1.16,0.99,1.84,2.5,9,0,0
ESSEX,WESTPORT,1st Floor,2,0.45,0.42,1.63,0.6,2,0,0
ESSEX,WILLSBORO,Basement,7,2.19,1.34,2.79,7.5,6,1,0
ESSEX,WILLSBORO,1st Floor,4,0.58,0.56,1.34,0.8,4,0,0
ESSEX,WILMINGTON,Basement,3,1.4,1.3,1.58,2.2,3,0,0
ESSEX,WILMINGTON,1st Floor,1,0.1,0.1,1,0.1,1,0,0
FRANKLIN,ALTAMONT,Basement,15,1.26,0.62,3.7,6.1,14,1,0
FRANKLIN,ALTAMONT,1st Floor,10,0.25,0.22,1.82,0.5,10,0,0
FRANKLIN,BANGOR,Basement,3,1.37,1.1,2.45,2.2,3,0,0
FRANKLIN,BANGOR,1st Floor,1,0.2,0.2,1,0.2,1,0,0
FRANKLIN,BELLMONT,Basement,3,1.8,1.61,1.8,2.9,3,0,0
FRANKLIN,BELLMONT,1st Floor,3,0.3,0.23,2.47,0.6,3,0,0
FRANKLIN,BOMBAY,Basement,3,4.63,3.78,2.19,8.6,2,1,0
FRANKLIN,BOMBAY,1st Floor,1,4.7,4.7,1,4.7,0,1,0
FRANKLIN,BRIGHTON,Basement,4,1.8,1.61,1.74,2.9,4,0,0
FRANKLIN,CHATEAUGAY,Basement,6,41.07,5.61,12.1,133.7,3,1,2
FRANKLIN,CHATEAUGAY,1st Floor,7,18.16,2.56,14.95,46.8,4,0,3
FRANKLIN,CONSTABLE,Basement,5,0.8,0.6,2.31,2.1,5,0,0
FRANKLIN,DICKINSON,Basement,4,2.48,1.84,2.25,6.2,3,1,0
FRANKLIN,FORT COVINGTON,Basement,4,2.05,1.47,3.03,3.8,4,0,0
FRANKLIN,FORT COVINGTON,1st Floor,2,0.8,0.74,1.75,1.1,2,0,0
FRANKLIN,FRANKLIN,Basement,9,0.57,0.46,2.11,1.4,9,0,0
FRANKLIN,FRANKLIN,1st Floor,3,0.43,0.27,3.26,1,3,0,0
FRANKLIN,HARRIETSTOWN,Basement,33,0.77,0.63,1.97,2.6,33,0,0
FRANKLIN,HARRIETSTOWN,1st Floor,13,0.82,0.57,2.55,2.1,13,0,0
FRANKLIN,MALONE,Basement,21,1.52,1.2,2.1,3.9,21,0,0
FRANKLIN,MALONE,1st Floor,9,0.83,0.38,3.56,3.8,9,0,0
FRANKLIN,MOIRA,Basement,4,1.23,0.89,2.9,2.2,4,0,0
FRANKLIN,MOIRA,1st Floor,1,0.1,0.1,1,0.1,1,0,0
FRANKLIN,SANTA CLARA,Basement,1,1.5,1.5,1,1.5,1,0,0
FRANKLIN,SANTA CLARA,1st Floor,2,0.15,0.14,1.63,0.2,2,0,0
FRANKLIN,WAVERLY,Basement,2,1.45,1.17,2.59,2.3,2,0,0
FRANKLIN,WAVERLY,1st Floor,2,0.45,0.37,2.43,0.7,2,0,0
FRANKLIN,WESTVILLE,Basement,2,3,2.89,1.47,3.8,2,0,0
FRANKLIN,WESTVILLE,1st Floor,1,0.8,0.8,1,0.8,1,0,0
FULTON,BLEECKER,Basement,1,0.2,0.2,1,0.2,1,0,0
FULTON,BLEECKER,1st Floor,1,0.1,0.1,1,0.1,1,0,0
FULTON,BROADALBIN,Basement,21,1.71,1.08,2.72,8.4,20,1,0
FULTON,BROADALBIN,1st Floor,3,0.27,0.23,2.08,0.4,3,0,0
FULTON,CAROGA,Basement,5,1.14,0.96,1.95,2.3,5,0,0
FULTON,CAROGA,1st Floor,2,0.5,0.49,1.33,0.6,2,0,0
FULTON,EPHRATAH,Basement,7,5.66,2.29,3.31,30.1,6,0,1
FULTON,EPHRATAH,1st Floor,1,10.9,10.9,1,10.9,0,1,0
